STATE,BRAND,DESC.,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
Assam,MSIN,M'SERIES INSIGNIA COLLECTION,160.000,10.000,"27,888.75",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,MSMB,M'SERIES MODERN BASICS,"46,460.000",0.000,"53,41,437.35","29,940.000","3,642.000","33,80,849.46",0.000,0.000,0.00,-35.557,-36.71,-100,-100,0,,,
Assam,MSMW,M'SERIES MACROWOMAN,"4,081.000",344.730,"7,00,252.35","10,681.000","1,392.000","25,15,766.35",0.000,0.000,0.00,161.725,259.27,-100,-100,0,,,
Assam,MSOW,M'SERIES T-SHIRT & OUTER WEAR,184.000,0.000,"56,299.04","3,263.000",0.000,"10,29,220.17",0.000,0.000,0.00,"1,673.370","1,728.13",-100,-100,0,,,
Assam,MSPD,M'SERIES PRO DRY,0.000,0.000,0.00,"1,479.000",155.000,"5,82,979.88",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSSG,MACROMAN M-SERIES SIGNATURE,0.000,0.000,0.00,"2,503.000",215.000,"6,72,063.65",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSSK,M'SERIES SOCKS,"1,600.000",200.000,"1,13,695.18","11,070.000","1,390.000","7,59,847.98",0.000,0.000,0.00,591.875,568.32,-100,-100,0,,,
Assam,MSSP,M'SERIES MACROMAN SPORTS,0.000,0.000,0.00,"4,710.000",715.000,"13,47,920.84",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSWS,M'SERIES MACROWOMAN SOCKS,0.000,0.000,0.00,50.000,0.000,"2,979.33",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MWBR,M'WOMAN BRA,"3,700.000",0.000,"8,32,203.80","10,930.000",0.000,"22,95,826.19",0.000,0.000,0.00,195.405,175.87,-100,-100,0,,,
Assam,RABT,BATH TOWEL,48.000,0.000,"6,887.84",168.000,0.000,"36,887.80",0.000,0.000,0.00,250.000,435.55,-100,-100,0,,,
Assam,RAFR,SAMPLE FREE,0.000,0.000,0.00,0.000,3.000,3.00,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,RAFT,FACE TOWEL,72.000,0.000,"2,663.92",216.000,0.000,"7,992.00",0.000,0.000,0.00,200.000,200.01,-100,-100,0,,,
Assam,RAHC,HANDKERCHIEF,0.000,0.000,0.00,288.000,0.000,"12,470.39",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,RAHT,HAND TOWEL,24.000,0.000,"1,571.96",540.000,0.000,"40,769.74",0.000,0.000,0.00,"2,150.000","2,493.56",-100,-100,0,,,
Assam,SLFR,SOFTLINE FREE,0.000,0.000,0.00,0.000,245.000,240.55,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,SLSC,SOFTLINE CAMISOLE,0.000,0.000,0.00,"1,560.000",0.000,"1,10,337.39",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,SLSP,SOFTLINE REG.PANTIES,0.000,0.000,0.00,"3,504.000",0.000,"1,98,260.03",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,TCAG,AGNI,0.000,0.000,0.00,168.000,0.000,"44,807.56",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,TCTO,TORRIDO,"1,080.000",0.000,"3,35,160.00",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,BMBS,BUMCHUMS SET,0.000,0.000,0.00,504.000,0.000,"1,40,632.30",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,BMBU,BUMCHUMS BERMUDA,"1,50,634.000",0.000,"4,14,54,397.33","1,75,775.000",0.000,"4,90,40,757.12",0.000,0.000,0.00,16.690,18.30,-100,-100,0,,,
Bihar,BMFR,BUMCHUMS FREE,0.000,0.000,0.00,0.000,84.000,83.60,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,BMLS,BUMCHUMS LOUNGERS,"11,328.000",0.000,"33,50,160.04","9,266.000",0.000,"28,40,507.80",0.000,0.000,0.00,-18.203,-15.21,-100,-100,0,,,
Bihar,BMPN,BUMCHUM PANT,"2,036.000",0.000,"5,92,768.21","12,910.000",0.000,"32,67,425.40",0.000,0.000,0.00,534.086,451.21,-100,-100,0,,,
Bihar,BMTS,BUMCHUMS T-SHIRT,"45,303.000",0.000,"1,03,38,892.23","37,338.000",0.000,"86,72,492.45",0.000,0.000,0.00,-17.582,-16.12,-100,-100,0,,,
Bihar,BRBF,BUTTERFLY BRA,"5,823.000",0.000,"8,56,186.87","2,646.000",0.000,"5,82,018.37",0.000,0.000,0.00,-54.56,-32.02,-100,-100,0,,,
Bihar,BRCP,SOFTLINE CLASSIC PANTIES,"6,215.000",0.000,"3,67,267.37",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,BRCS,SL CAMISOLE,"2,229.000",0.000,"1,45,651.06",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,BRCW,SOFTLINE CASUAL WEAR,"5,886.000",0.000,"16,73,324.99","5,552.000",0.000,"16,18,412.58",0.000,0.000,0.00,-5.674,-3.28,-100,-100,0,,,
Bihar,BRFA,FANCY BRA(GROUP-A),"13,460.000",0.000,"11,15,974.63","9,810.000",0.000,"8,45,564.62",0.000,0.000,0.00,-27.117,-24.23,-100,-100,0,,,
Bihar,BRFB,FANCY BRA(GROUP-B),"10,029.000",0.000,"10,21,408.31","10,940.000",0.000,"11,75,165.26",0.000,0.000,0.00,9.084,15.05,-100,-100,0,,,
Bihar,BRLG,SOFTLINE LEGGINGS,"9,436.000",375.000,"22,79,026.94","6,187.000",0.000,"15,30,288.58",0.000,0.000,0.00,-34.432,-32.85,-100,-100,0,,,
Bihar,BRRC,REGULAR COTTON BRA,"2,77,454.000",0.000,"1,70,49,249.15","2,75,948.000",0.000,"1,82,12,929.65",0.000,0.000,0.00,-0.543,6.83,-100,-100,0,,,
Bihar,BRRF,REGULAR FANCY BRA,"40,800.000",0.000,"27,59,519.67","44,030.000",0.000,"29,56,964.52",0.000,0.000,0.00,7.917,7.16,-100,-100,0,,,
Bihar,BUZZ,BUZZ,436.000,0.000,"1,61,114.98",17.000,0.000,"4,512.27",0.000,0.000,0.00,-96.101,-97.2,-100,-100,0,,,
Bihar,CLCD,COLORS DRAWER,0.000,0.000,0.00,"36,045.000",0.000,"32,31,438.11",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CLCV,COLORS VEST,0.000,0.000,0.00,"19,482.000",0.000,"15,87,413.88",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CLPB,COLORS PEEKABOO,0.000,0.000,0.00,"6,666.000",0.000,"5,99,066.86",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CLPT,COLORS PANT,0.000,0.000,0.00,375.000,0.000,"1,34,005.63",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CLSH,COLORS SHORTS,0.000,0.000,0.00,"3,225.000",0.000,"8,30,375.42",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CLTS,COLORS T-SHIRT,0.000,0.000,0.00,"1,680.000",0.000,"3,48,452.55",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Bihar,CTMT,CONTRACT MFG.,18.000,0.000,"1,934.69",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,EUEU,EURO,"1,67,545.000","54,814.000","1,36,44,646.35","2,21,264.000",0.000,"1,44,27,605.82",0.000,0.000,0.00,32.062,5.74,-100,-100,0,,,
Bihar,FL2B,FRONTLINE (2.0) BOXER,"1,368.000",0.000,"3,80,459.93","5,455.000",0.000,"15,32,826.49",0.000,0.000,0.00,298.757,302.89,-100,-100,0,,,
Bihar,FLAV,FRONTLINE AIR,245.000,0.000,"37,694.02",75.000,0.000,"12,906.07",0.000,0.000,0.00,-69.388,-65.76,-100,-100,0,,,
Bihar,FLCD,FRONTLINE COLORS DRAWER,"42,683.000",300.000,"34,25,649.66",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,FLCV,FRONTLINE COLORS VEST,"1,05,545.000",0.000,"77,77,470.37",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,FLEX,FRONTLINE EXPANDO,"2,022.000",0.000,"1,32,270.87","3,350.000",0.000,"2,09,135.39",0.000,0.000,0.00,65.678,58.11,-100,-100,0,,,
Bihar,FLFB,FRONTLINE BRIEF,"10,629.000",0.000,"7,20,296.47","10,020.000",0.000,"6,44,631.25",0.000,0.000,0.00,-5.73,-10.5,-100,-100,0,,,
Bihar,FLFD,FRONTLINE DRAWER,"3,38,328.000",0.000,"3,39,02,108.35","1,87,590.000",0.000,"1,78,00,044.56",0.000,0.000,0.00,-44.554,-47.5,-100,-100,0,,,
Bihar,FLFV,FRONTLINE VEST,"9,72,543.000",0.000,"7,00,06,529.85","6,19,635.000",0.000,"4,27,87,753.97",0.000,0.000,0.00,-36.287,-38.88,-100,-100,0,,,
Bihar,FLFX,FRONTLINE XING,120.000,0.000,"10,344.43",30.000,0.000,"2,561.49",0.000,0.000,0.00,-75,-75.24,-100,-100,0,,,
Bihar,FLHK,FRONTLINE HUNK,"84,806.000",0.000,"87,97,657.48","60,965.000",20.000,"54,84,981.26",0.000,0.000,0.00,-28.112,-37.65,-100,-100,0,,,
Bihar,FLIL,FRONTLINE INTERLOCK,110.000,0.000,"10,985.80",30.000,0.000,"2,911.00",0.000,0.000,0.00,-72.727,-73.5,-100,-100,0,,,
Bihar,FLKL,FRONTLINE KIDLINE,"6,115.000",0.000,"5,38,145.73","9,827.000",0.000,"7,61,521.51",0.000,0.000,0.00,60.703,41.51,-100,-100,0,,,
Bihar,FLRL,FRONTLINE RIBLINE,"8,820.000",0.000,"7,73,738.83","3,710.000",0.000,"3,15,158.42",0.000,0.000,0.00,-57.937,-59.27,-100,-100,0,,,
Bihar,FLSW,FRONTLINE SKYWINGS,"18,670.000",0.000,"17,76,322.13","13,280.000",0.000,"12,41,276.67",0.000,0.000,0.00,-28.87,-30.12,-100,-100,0,,,
Bihar,FTCC,COMFORT COTTON SOCKS,"16,921.000",0.000,"6,22,450.57","13,780.000",0.000,"5,44,903.66",0.000,0.000,0.00,-18.563,-12.46,-100,-100,0,,,
Bihar,FTCF,COTTON FEEL SOCKS,"27,461.000",0.000,"8,37,666.09","24,180.000",0.000,"7,99,634.52",0.000,0.000,0.00,-11.948,-4.54,-100,-100,0,,,
Bihar,FTCS,CHILDREN FANCY SOCKS,110.000,0.000,"3,752.89",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Bihar,FTPM,PREMIUM SOCKS,"7,290.000",0.000,"3,23,622.06","5,150.000",0.000,"2,42,596.41",0.000,0.000,0.00,-29.355,-25.04,-100,-100,0,,,
Bihar,FTRC,REGULAR COTTON SOCKS,"2,043.000",0.000,"90,216.09","1,420.000",0.000,"67,876.91",0.000,0.000,0.00,-30.494,-24.76,-100,-100,0,,,
Bihar,FTRL,REGULAR SOCKS LADIES THUMB,120.000,0.000,"4,296.18",92.000,0.000,"4,029.15",0.000,0.000,0.00,-23.333,-6.22,-100,-100,0,,,
Bihar,FTSP,SPORTY SOCKS,180.000,0.000,"10,791.33",27.000,0.000,"2,227.83",0.000,0.000,0.00,-85,-79.36,-100,-100,0,,,
Bihar,FTSU,SCHOOL UNIFORM SOCKS,"51,073.000",0.000,"13,83,852.48","46,240.000",0.000,"12,41,093.28",0.000,0.000,0.00,-9.463,-10.32,-100,-100,0,,,
Bihar,FTWL,WOOLEN SOCKS,190.000,0.000,"6,592.55",60.000,0.000,"2,262.91",0.000,0.000,0.00,-68.421,-65.67,-100,-100,0,,,
Bihar,JNJN,JON,"17,82,273.000","1,22,632.000","8,39,33,943.59","24,56,773.000","8,695.000","10,10,69,388.65",0.000,0.000,0.00,37.845,20.42,-100,-100,0,,,
Bihar,JNOW,JON OUTERWEAR,0.000,0.000,0.00,"2,780.000",0.000,"5,88,632.28",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
